"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2020-11-19,16914.1414332143,93.1047034025359,93.1047034025359,93.1047034025359,93.1047034025359,93.1047034025359,93.1047034025359,0,0,0,13982.4718797862,19835.1004004955,16914.1414332143,16914.1414332143,17007.2461366169
2020-11-20,17131.5109267798,36.9731940370865,36.9731940370865,36.9731940370865,36.9731940370865,36.9731940370865,36.9731940370865,0,0,0,14404.7640387722,19939.121034302,17131.5109267798,17131.5109267798,17168.4841208169
2020-11-21,17348.8804203453,145.049246259887,145.049246259887,145.049246259887,145.049246259887,145.049246259887,145.049246259887,0,0,0,14381.8266750375,20400.7552717351,17348.8804203453,17348.8804203453,17493.9296666052
2020-11-22,17566.2499139108,-18.187758733518,-18.187758733518,-18.187758733518,-18.187758733518,-18.187758733518,-18.187758733518,0,0,0,14542.9300424163,20271.6619727958,17566.2499139108,17566.2499139108,17548.0621551773
2020-11-23,17783.6194074763,-172.070185697267,-172.070185697267,-172.070185697267,-172.070185697267,-172.070185697267,-172.070185697267,0,0,0,14880.0521044515,20403.5055028557,17783.6194074763,17783.6194074763,17611.5492217791
2020-11-24,18000.9889010418,-139.628534339647,-139.628534339647,-139.628534339647,-139.628534339647,-139.628534339647,-139.628534339647,0,0,0,14831.292881104,20827.631662209,18000.9889010418,18000.9889010418,17861.3603667022
2020-11-25,18218.3583946073,54.7593350698908,54.7593350698908,54.7593350698908,54.7593350698908,54.7593350698908,54.7593350698908,0,0,0,15307.5234596451,21195.9784930613,18218.3583946073,18218.3583946073,18273.1177296772
2020-11-26,18435.7278881729,93.1047034023708,93.1047034023708,93.1047034023708,93.1047034023708,93.1047034023708,93.1047034023708,0,0,0,15662.9508307729,21316.4318242009,18435.7278881729,18435.7278881729,18528.8325915752
2020-11-27,18653.0973817384,36.9731940370961,36.9731940370961,36.9731940370961,36.9731940370961,36.9731940370961,36.9731940370961,0,0,0,15989.8406172844,21425.1599344048,18653.0973817384,18653.0973817384,18690.0705757754
2020-11-28,18870.4668753039,145.049246259898,145.049246259898,145.049246259898,145.049246259898,145.049246259898,145.049246259898,0,0,0,16246.3046307664,21914.5333150536,18870.4668753039,18870.4668753039,19015.5161215638
2020-11-29,19087.8363688694,-18.1877587327843,-18.1877587327843,-18.1877587327843,-18.1877587327843,-18.1877587327843,-18.1877587327843,0,0,0,16161.8506384158,21973.7907865549,19087.8363688694,19087.8363688694,19069.6486101366
2020-11-30,19305.2058624349,-172.070185697226,-172.070185697226,-172.070185697226,-172.070185697226,-172.070185697226,-172.070185697226,0,0,0,16312.6104917931,22153.1876963577,19305.2058624349,19305.2058624349,19133.1356767376
